fid,SourceAgency,SourceDataset,SourceFeatureURL,FeatureType,ReachCode,Measure,ReachSMDate,AddressDate,Catchment,HU,OnNetwork,HydroAddressID,GNIS_NAME,GNIS_ID,SnapTolerance,SnapDistance,InSnapTolerance,QCTolerance,InQCTolerance,QCApproved,NHDPv2ReachCode,NHDPv2Measure,Latitude,Longitude,uri,SourceID,state,huc8,reachcode_nhdpv2
1635,NA,NA,NA,NA,17010302000094,0,NA,NA,NA,NA,0,NA,CANYON CREEK SOUTH FORK COEUR D ALENE RIVER,NA,0,0,0,0,0,0,17010302000094,0,47.4881,-115.8941,https://geoconnex.us/iow/demo/ID00385,ID00385,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17010302,https://geoconnex.us/nhdplusv2/reachcode/17010302000094
1636,NA,NA,NA,NA,17010305000013,87.78669240148255,2012-07-19T00:00:00Z,2022-03-01T01:32:36Z,0,,1,1e7f0554-e529-45d0-a79e-a1718112f1a1,Spokane River,NA,250,20.9375,1,250,1,1,17010305000013,0,47.709118,-116.961023,https://geoconnex.us/iow/demo/ID00220,ID00220,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17010305,https://geoconnex.us/nhdplusv2/reachcode/17010305000013
1637,NA,NA,NA,NA,17010305089330,0.6084653599594857,2012-07-19T00:00:00Z,2022-03-01T01:32:36Z,0,,1,bc40f048-af0e-4c61-9136-d5d568ad19a6,Rathdrum Creek,NA,250,84.6393,1,250,1,1,17010305000058,0,47.8582,-116.8644,https://geoconnex.us/iow/demo/ID00153,ID00153,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17010305,https://geoconnex.us/nhdplusv2/reachcode/17010305000058
1638,NA,NA,NA,NA,17010307000774,0.5106106254601833,2012-07-19T00:00:00Z,2022-03-01T01:32:34Z,0,,1,e514da54-f0bd-4276-935a-70e3ea2b336f,Spokane River,NA,250,68.9713,1,250,1,1,17010307000774,0,47.774778,-117.544671,https://geoconnex.us/iow/demo/WA00068,WA00068,https://geoconnex.us/ref/states/53,https://geoconnex.us/ref/hu08/17010307,https://geoconnex.us/nhdplusv2/reachcode/17010307000774
1639,NA,NA,NA,NA,17020001002641,97.44013460520829,2021-03-05T22:22:24Z,2022-03-01T01:32:36Z,0,,1,d094df72-7c7a-41e7-a499-30ed022281d3,Stranger Creek,NA,250,13.3548,1,250,1,1,17020001001075,0,48.27366,-118.3748,https://geoconnex.us/iow/demo/WA00277,WA00277,https://geoconnex.us/ref/states/53,https://geoconnex.us/ref/hu08/17020001,https://geoconnex.us/nhdplusv2/reachcode/17020001001075
1640,NA,NA,NA,NA,17020013000314,29.948504434471218,2012-07-20T00:00:00Z,2022-03-01T01:32:36Z,0,,1,28871e55-6c9c-40f3-8d44-51f136f9e09c,Goose Creek,NA,250,0.553664,1,250,1,1,17020013000314,0,47.771956,-118.609401,https://geoconnex.us/iow/demo/WA00016,WA00016,https://geoconnex.us/ref/states/53,https://geoconnex.us/ref/hu08/17020013,https://geoconnex.us/nhdplusv2/reachcode/17020013000314
1641,NA,NA,NA,NA,17020014000600,40.7184442522786,2012-02-21T00:00:00Z,2022-03-01T01:32:36Z,0,,1,9162d66b-d861-4442-8fef-0ccae4837820,NA,NA,250,190.778,1,250,1,1,17020014000574,0,47.6209,-119.3124,https://geoconnex.us/iow/demo/WA00261,WA00261,https://geoconnex.us/ref/states/53,https://geoconnex.us/ref/hu08/17020014,https://geoconnex.us/nhdplusv2/reachcode/17020014000574
1642,NA,NA,NA,NA,17030001000576,97.57533973007058,2014-10-07T10:30:55Z,2022-03-01T01:32:37Z,0,,1,d154e1ed-f0fb-470f-ae0d-f98aa1fa6cb3,Yakima River,NA,250,0.270796,1,250,1,1,17030001002872,0,47.3222,-121.3392,https://geoconnex.us/iow/demo/WA00265,WA00265,https://geoconnex.us/ref/states/53,https://geoconnex.us/ref/hu08/17030001,https://geoconnex.us/nhdplusv2/reachcode/17030001002872
1643,NA,NA,NA,NA,17030002000215,86.05029698425186,2015-10-14T08:25:14Z,2022-03-01T01:31:16Z,0,,1,5a9728ef-f365-4c53-a79b-009abadbac2d,NA,NA,250,57.2679,1,250,1,1,17030002001471,0,46.8691,-121.3003,https://geoconnex.us/iow/demo/WA00263,WA00263,https://geoconnex.us/ref/states/53,https://geoconnex.us/ref/hu08/17030002,https://geoconnex.us/nhdplusv2/reachcode/17030002001471
1644,NA,NA,NA,NA,17030003000886,37.976375,2016-02-24T10:31:10Z,2022-03-01T01:32:38Z,0,,1,f973f8b5-2700-432d-8c17-bb3fd2bc4768,NA,NA,250,105.555,1,250,1,1,17030003000886,0,46.53169945,-120.2929745,https://geoconnex.us/iow/demo/WA01679,WA01679,https://geoconnex.us/ref/states/53,https://geoconnex.us/ref/hu08/17030003,https://geoconnex.us/nhdplusv2/reachcode/17030003000886
